state_id,college_id,college_name,city,type,ownership,website,source_url_primary,source_url_secondary,stream_id,course_id,geography_lens_ids,confidence_level,notes
UP,banaras_hindu_university_ayush,Faculty of Ayurveda IMS BHU Varanasi,Varanasi,Central university faculty,Public,https://www.bhu.ac.in/,https://www.bhu.ac.in/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,medium,"AYUSH intake pathway should be verified against NCISM and university counselling notices."
KA,sdm_college_ayurveda_udupi,SDM College of Ayurveda Udupi,Udupi,Private AYUSH college,Private,https://sdmayurvedacollegeudupi.in/,https://sdmayurvedacollegeudupi.in/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,medium,"AYUSH approvals and counselling rules should be verified from regulator and state bulletins."
HR,college_veterinary_science_hisar,College of Veterinary Sciences LUVAS Hisar,Hisar,State university college,Public,https://www.luvas.edu.in/,https://www.luvas.edu.in/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,high,"Veterinary admissions and seat categories should be validated from LUVAS and ICAR updates."
AP,spa_vijayawada,School of Planning and Architecture Vijayawada,Vijayawada,Institute of National Importance,Public,https://spav.ac.in/,https://spav.ac.in/,https://www.coa.gov.in/,architecture,architecture_generic,"state_comfort|national_level",high,"Architecture route may include national admission channels; verify current entrance requirements."
DL,maulana_azad_institute_dental_sciences_delhi,Maulana Azad Institute of Dental Sciences New Delhi,New Delhi,Government dental college,Public,https://maids.ac.in/,https://maids.ac.in/,https://dciindia.gov.in/,dentistry,dentistry_generic,"state_comfort|national_level",high,"Dental counselling pathway and DCI recognition should be verified from current official notices."
TN,madras_veterinary_college_chennai,Madras Veterinary College Chennai,Chennai,State veterinary college,Public,https://tanuvas.ac.in/mvc.php,https://tanuvas.ac.in/mvc.php,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,high,"Veterinary intake is state-linked; verify latest counselling and seat matrix from TANUVAS."
KA,government_unani_medical_college_bengaluru,Government Unani Medical College Bengaluru,Bengaluru,Government AYUSH college,Public,https://www.karnataka.gov.in/,https://www.karnataka.gov.in/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,low,"Program-level details should be manually verified from state AYUSH and regulator sources before reliance."
MH,bvp_dental_college_pune,Bharati Vidyapeeth Dental College and Hospital Pune,Pune,Private dental college,Private,https://dchpune.bharatividyapeeth.edu/,https://dchpune.bharatividyapeeth.edu/,https://dciindia.gov.in/,dentistry,dentistry_generic,state_comfort,medium,"Dental admission route and regulator recognition should be validated from latest official notices."
KA,kvg_dental_college_sullia,KVG Dental College and Hospital Sullia,Sullia,Private dental college,Private,https://www.kvgdentalcollege.org/,https://www.kvgdentalcollege.org/,https://dciindia.gov.in/,dentistry,dentistry_generic,state_comfort,medium,"State counselling and DCI-linked program approvals should be verified each cycle."
UP,faculty_of_dental_sciences_kgmu_lucknow,Faculty of Dental Sciences KGMU Lucknow,Lucknow,Government dental college,Public,https://www.kgmu.org/,https://www.kgmu.org/,https://dciindia.gov.in/,dentistry,dentistry_generic,state_comfort,high,"Dental counselling pathway should be validated from current state and all-India notices."
TN,ragas_dental_college_chennai,Ragas Dental College and Hospital Chennai,Chennai,Private dental college,Private,https://www.ragasdentalcollege.com/,https://www.ragasdentalcollege.com/,https://dciindia.gov.in/,dentistry,dentistry_generic,state_comfort,medium,"Dental seat matrix and admission route should be verified against latest notifications."
GJ,government_dental_college_jamnagar,Government Dental College and Hospital Jamnagar,Jamnagar,Government dental college,Public,https://www.gdcjamnagar.org/,https://www.gdcjamnagar.org/,https://dciindia.gov.in/,dentistry,dentistry_generic,state_comfort,medium,"Dental intake should be validated through current state counselling and regulator data."
DL,all_india_institute_ayurveda_delhi,All India Institute of Ayurveda New Delhi,New Delhi,Institute of National Importance,Public,https://aiia.gov.in/,https://aiia.gov.in/,https://ncismindia.org/,ayush,ayush_generic,"state_comfort|national_level",high,"AYUSH national institute admissions and regulator status should be verified from official bulletins."
RJ,national_institute_ayurveda_jaipur,National Institute of Ayurveda Jaipur,Jaipur,Deemed university,Public,https://nia.nic.in/,https://nia.nic.in/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,high,"AYUSH counselling route and eligibility should be validated against current institute and regulator notices."
UP,banaras_hindu_university_ayush,Faculty of Ayurveda IMS BHU Varanasi,Varanasi,Central university faculty,Public,https://www.bhu.ac.in/,https://www.bhu.ac.in/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,high,"AYUSH programs should be verified through university bulletins and NCISM updates."
AS,government_ayurvedic_college_guwahati,Government Ayurvedic College Guwahati,Guwahati,Government AYUSH college,Public,https://www.gacassam.com/,https://www.gacassam.com/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,medium,"AYUSH approval and counselling details should be validated through state and regulator notices."
KA,fr_muller_homeopathic_mangaluru,Father Muller Homeopathic Medical College Mangaluru,Mangaluru,Private AYUSH college,Private,https://www.fmhomoeopathy.org/,https://www.fmhomoeopathy.org/,https://ncismindia.org/,ayush,ayush_generic,state_comfort,medium,"AYUSH course approvals and admission pathway should be verified from official institute and regulator pages."
MH,sir_jj_college_architecture_mumbai,Sir JJ College of Architecture Mumbai,Mumbai,Government architecture college,Public,https://www.sirjjarchitecture.org/,https://www.sirjjarchitecture.org/,https://www.coa.gov.in/,architecture,architecture_generic,state_comfort,high,"Architecture admission route and NATA/JEE requirements should be validated from official notices."
KA,rv_college_architecture_bengaluru,RV College of Architecture Bengaluru,Bengaluru,Private architecture college,Private,https://rvca.edu.in/,https://rvca.edu.in/,https://www.coa.gov.in/,architecture,architecture_generic,state_comfort,medium,"Architecture seat matrix and counselling route should be verified from state and institute updates."
DL,spa_delhi,School of Planning and Architecture New Delhi,New Delhi,Institute of National Importance,Public,https://spa.ac.in/,https://spa.ac.in/,https://www.coa.gov.in/,architecture,architecture_generic,"state_comfort|national_level",high,"Architecture admissions may use national-level counselling; verify current entrance requirement."
GJ,cept_faculty_architecture_ahmedabad,CEPT Faculty of Architecture Ahmedabad,Ahmedabad,Private university faculty,Private,https://cept.ac.in/faculty-of-architecture,https://cept.ac.in/faculty-of-architecture,https://www.coa.gov.in/,architecture,architecture_generic,state_comfort,high,"Program-wise architecture intake should be verified from official CEPT admission bulletin."
KL,nit_calicut_architecture,NIT Calicut Department of Architecture and Planning,Kozhikode,Institute of National Importance,Public,https://nitc.ac.in/,https://nitc.ac.in/,https://www.coa.gov.in/,architecture,architecture_generic,"state_comfort|national_level",high,"Architecture and planning route should be validated from NIT and counselling notifications."
RJ,college_veterinary_science_bikaner,College of Veterinary and Animal Science Bikaner,Bikaner,State veterinary college,Public,https://www.rajuvas.org/,https://www.rajuvas.org/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,high,"Veterinary admissions should be validated from RAJUVAS and ICAR counselling updates."
AP,college_veterinary_science_tirupati,College of Veterinary Science Tirupati,Tirupati,State veterinary college,Public,https://svvu.edu.in/,https://svvu.edu.in/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,high,"Veterinary program intake and seat categories should be verified from current SVVU notices."
MH,bombay_veterinary_college_mumbai,Bombay Veterinary College Mumbai,Mumbai,State veterinary college,Public,https://mafsu.in/bvc/,https://mafsu.in/bvc/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,high,"Veterinary counselling and seat matrix should be validated through MAFSU and ICAR notices."
KA,veterinary_college_bidar,Veterinary College Bidar,Bidar,State veterinary college,Public,https://www.kvafsu.edu.in/,https://www.kvafsu.edu.in/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,medium,"Veterinary admissions and regulator alignment should be verified from state university sources."
RJ,rajasthan_university_veterinary_bikaner,Rajasthan University of Veterinary and Animal Sciences Bikaner,Bikaner,State university,Public,https://www.rajuvas.org/,https://www.rajuvas.org/,https://icar.org.in/,veterinary,veterinary_generic,state_comfort,high,"University-level veterinary pathways should be verified from latest state and ICAR notifications."
